"sentence","emotion A1","emotion A2","emotion A3"
"' কিন্তু তোমাকে আটকাইনি?
","5","5","5"
" বলেছিলাম, ""যদি দূরে গিয়ে ভালো থাকতে চাও তো তাই থাকো।
","5","5","5"
""" যাবার আগেরদিন তুমি বলেছিলে, ""আমি তোমাকে বিয়ে করতে পারব না, কারণ সমাজ আমাদের বিয়েটা মানবে না।
","5","5","5"
" আমি তোমার থেকে দু'বছরের বড় যে! উপরন্তু আমার অতীত... তাই আমি চাইছি না তোমাকে আরও বেশি করে এই সম্পর্কে জড়িয়ে ফেলতে।
","5","5","5"
""" এমনকি এটাও বলেছিলে, তুমি নাকি আমাকে সেই সুখ দিতে পারবে না যেটা একজন স্ত্রী তার স্বামীকে দেয়।
","5","5","5"
" সত্যি বলছি, আমি চাইছিলাম তোমাকে নিজের মত বাঁচতে দিতে, কিন্তু তবু বলেছিলাম, ""আমরা না হয় বিয়ে করবো না, বন্ধু হয়েই থাকবো সারা জীবন।
","5","5","5"
" তোমার থেকে কোনো কিছু পাওয়ার আশা রাখব না।
","5","5","5"
" কিচ্ছু চাইব না শুধু বন্ধুত্বটুকু ছাড়া।
","5","5","5"
""" তুমি বলেছিলে ""আমার মতো একটা বন্ধু পেলে তুমি কি আর কোনদিনও সংসারী হতে পারবে?
","5","5","5"
" পারবে আমার সামনে অন্য মেয়েকে সিঁদুর পড়াতে?
","5","5","5"
" তার চেয়ে বরং আমি তোমার থেকে দূরে চলে যাই?
","5","5","5"
" আমার মুখটা তোমার স্মৃতিতে আবছা হয়ে এলে তুমি অন্য কোন মেয়েকে বিয়ে করো, সে তোমাকে অনেক ভালো রাখবে।
","5","5","5"
""" পরের দিন আমার দেওয়া সব উপহার আমাকে ফেরত দিয়েছিলে।
","5","5","5"
" সেদিনই তোমার সাথে শেষ দেখা।
","5","5","5"
" পরে তোমার বন্ধুরা বলেছিল তুমি নাকি বিবাহ-বিচ্ছিন্না ছিলে।
","5","5","5"
" তবুও তোমার প্রতি এতটুকু বিতৃষ্ণা জন্মায়নি।
","5","5","5"
" বরং ওদের মুখে যখন তোমার অত্যাচারিত হবার কথা শুনেছিলাম, খুব করে চেয়েছিলাম তুমি ফিরে এসো আমার কাছে।
","5","5","5"
" তোমার ওপর হওয়া অত্যাচার আমি ভালোবাসা দিয়ে ভুলিয়ে দেব, এমনিই ভেবেছিলাম।
","5","5","5"
" জানিনা আমার কথা তোমার মনে আছে কিনা, কিন্তু আমার হৃদয় জুড়ে তুমি আজও বিরাজমান।
","5","5","5"
" মুখ ফুটে কথাগুলো কাউকে বলতে পারিনি এত দিন, তাই হয়তো আজ আমার 'লেখা পেল'।
","5","5","5"
" যেখানেই থেকো, ভালো থেকো সুনি।
","5","5","5"
" তবে একটাই দুঃখ, তোমাকে দেওয়া শেষ কথাটা রাখতে পারিনি গো।
","5","5","5"
" তুমি চেয়েছিলে আমি যেন খুব ভালো থাকি।
","5","5","5"
" কিন্তু বিশ্বাস করো 'আমার সুনি' আমার থেকে দূরে চলে যাওয়ার পর থেকে আমি একটুও ভালো নেই।
","5","5","5"
" তোমাকে বলতাম না যে তুমি মুখের হাসির আড়ালে চোখের জল লুকাও কিভাবে?
","5","5","5"
" আজকে আমিও শিখে গেছি জানো?
","5","5","5"
" তোমার ফিরিয়ে দেওয়া প্রত্যেকটা উপহারে আজও তোমার স্পর্শ পাই।
","5","5","5"
" এইটুকু নিয়েই বেঁচে আছি সুনি।
","5","5","5"
" প্রত্যেকটা বসন্ত আজও আমার মনে আশা জাগায়, হয়ত আমার সুনি ফিরবে এবার... বেশ খিদে পাচ্ছে এবার।
","5","5","5"
" রমা তিন-তিনবার ডেকে গেছে খাবার জন্য।
","5","5","5"
" ও-ও না খেয়ে বসে আছে।
","5","5","5"
" কর্তব্য পালন করে আসি গো।
","5","5","5"
" এখন উঠি, কেমন?
","5","5","5"
" কোথাও যেওনা যেন?
","5","5","5"
" আমার হৃদয়ের কোণে একটু অপেক্ষা কর।
","5","5","5"
" আমি যাব আর আসব... ----মেঘা মিত্র ২০/০২/২০১৯ ।
","5","5","5"
