sentence,emotion category
"কপাল ভালো মাথায় তেমন গুরুতর আঘাত লাগেনি।
",5
" সঙ্গে সঙ্গে কোথায় থেকে ভুঁইফোড়ের মতো বহু লোক জড়ো হয়ে যায়।
",5
" মারতে উদ্যত হয় সকলেই এমন এক খুনিকে।
",5
"সেই অবস্থাতেও মিষ্টি ঢাল হয়ে দাঁড়ায় তার পাশে।
",5
"মেয়েটির পাশে নিজেকে যত অকিঞ্চিৎ মনে হয় ততো ই তার প্রতি আকৃষ্ট হয়ে পড়ে সে।
",5
"কিন্তু সে নিজেও যে মেয়ে।
",5
"মেয়েটিকে হাসপাতালে নিয়ে যায় সে।
",5
"প্রাথমিক চিকিৎসা করে কিছুক্ষণ অপেক্ষা করে ছেড়ে দেওয়া হয় মিষ্টিকে।
",5
"নিজের ভাগ্যকে অনেক ধন্যবাদ জানাই সে।
",5
"সেখান থেকেই বন্ধুত্বের সূত্রপাত।
",5
" আপন প্রত্যয়ে সমস্ত সমস্যার কথা খুলে বলে সে মিষ্টি কে।
",5
"অবশ্য মিষ্টি নিজে থেকেই অনেকটা এগিয়েছে, প্রশ্রয় দিয়েছে।
",5
" খুব ভালো লাগতো তার বৃন্দাকে।
",5
"মেয়ের মধ্যে এমন ডাকাবুকো ভাব কয় জনের মধ্যে দেখা যায়?
",5
" তাছাড়া ও নিজেকে মেয়ে বলে পরিচয় দিলেও,এ যেন কেমন ব্যতিক্রমী মেয়ে?
",5
"শারীরিক গঠনও যেন কেমন কেমন?
",5
" তবু আকর্ষণ এড়াতে পারে না সে?
",5
"বিশেষত তার জীবনের কাহিনী শোনবার পর তো নয়ই।
",5
" সেদিন চৌদ্দই ফেব্রুয়ারি।
",5
" ভ্যালেন্টাইন ডে।
",5
"নির্জনে রেস্টুরেন্টে কেবিন বুক করে বৃন্দা ও মিষ্টি মুখোমুখি বসে।
",5
" প্রথম মিষ্টিই বলে,"" তোমাকে আমি বিয়ে করতে চাই বৃন্দা।
",5
"আজ আমার জন্মদিন।
",5
" আমাকে তুমি আজ এই উপহারটা দিবে?
",5
""" বৃন্দা বলে আমার মতো আধা নর,আধা নারীকে বিয়ে করে তুমি কি পাবে?
",5
"তাছাড়া আমি এখনো ঠিক করে জানিনা আমি মেয়ে না ছেলে?
",5
" "" উত্তরে মিষ্টি বলে,"" চলো, আমরা ডঃ হিমাংশু বোসের কাছে পরামর্শ নিই?
",5
" তবে তুমি ছেলে না মেয়ে তা নিয়ে আমার বিন্দুমাত্র মাথাব্যথা নেই,আমি তোমাকে নিয়ে বাকি জীবনটা একসাথে পথ চলতে চাই, এটাই আমার শেষ কথা।
",5
"""দু'চোখ দিয়ে জল গড়িয়ে পড়ে বৃন্দার।
",5
" সযত্নে চোখ মুছিয়ে দিয়ে মিষ্টি বলে,"" তুমি শোনো নি যে আজকাল রূপান্তরকামীরা সংসার করছে চিকিৎসা বিজ্ঞানের সাহায্যে?
",5
""" ডঃ হিমাংশু বোসের কাছে গিয়ে সব কথা খুলে বলে বৃন্দা?
",5
"বলে সে যে বৃন্দা নয়,বৃন্দাবন হয়ে সমাজে মাথা উঁচু করে পথ চলা শুরু করতে চাই।
",5
" ডঃ বোস বলেন,"" তুমি সিদ্ধান্তে অটল থাকলে আমি তোমাকে সাহায্য করবো।
",5
""" শুরু হয় ওষুধপত্র , ইনজেকশন ও অপারেশনের প্রস্তুতি।
",5
"সেই অবিশ্বাস্য দিনটি ছিলো ২১ শে ফেব্রুয়ারি।
",5
" হ্যাঁ,এই দিনটিতেই মেয়ে বৃন্দা হয়ে উঠলো ছেলে বৃন্দাবন।
",5
" একমাত্র মিষ্টি ছাড়া কেউ তার পাশে ছিল না সেদিন।
",5
"অনেকেই বিদ্রূপ করে বলেছিল,"" কুঁজোর আবার চিৎ হয়ে শোবার সাধ কেন বাপু।
",5
""" সুস্থ হয়ে প্রথম সে নিজের বাড়ি যায়।
",5
"কিন্তু তাঁর মা বা দাদা দিদি কেউ তাকে মেনে নেয় না।
",5
"তারা বলে,"" আমরা বৃন্দাবনকে চিনি না,চিনি বৃন্দাকে।
",5
"তাই তোমার এখানে স্থান হবে না।
",5
""" চলে আসে বৃন্দাবন মিষ্টির মায়ের কাছে।
",5
"তাঁকে বলে সব কিছু।
",5
" মিষ্টি র মা কেবল বলেন,"" বাবা অল্প বয়স থেকে মেয়েটা বাপ হারা,এ অভাগীকে কষ্ট দিও না।
",5
"প্রজাপতির নির্বন্ধে তোমরা এক হও, এই আশীর্বাদ করি।
",5
""" বৃন্দাবন বলে মিষ্টিকে,""আমাকে বিয়ে করে তুমি অনুতপ্ত হবে না তো কোনো দিন?
",5
"আমি কিন্তু তোমাকে সন্তান দিতে পারবো না কোনোদিন?
",5
""" মিষ্টি বলে,""আমি তোমার জীবনের নিঃশ্বাস, তুমি আমার চলার পথের বিশ্বাস।
",5
"পরিণয়ের পরিণতি শুধু নয় সম্ভোগ,যে ভালোবাসে তার মূলধন সন্তোষ।
",5
" "" বিবাহ সম্পন্ন হয়।
",5
"দুজনে এখন থেকে স্বামী স্ত্রী।
",5
"বৃন্দাবন বৌকে নিয়ে চলে যায় নদীয়াতে।
",5
"বিখ্যাত মৃৎশিল্পী বিপুল ঠাকুরের কাছে আরো ভালো করে পুতুল গড়ার কাজ শিখতে থাকে সে মন দিয়ে।
",5
" ধীরে ধীরে সকলের মুখে মুখে তার নাম ছড়িয়ে পড়তে থাকে।
",5
"এক নামকরা স্বেচ্ছাসেবী সংস্থার কর্ণধার তার সাথে যোগাযোগ করে তাকে খুঁজে বের করেন।
",5
"শুরু হয় নতুন গল্প।
",5
"তাঁর মারফৎ আবার ফুটবল জগতে পা রাখে সে পথ শিশুদের কোচ হয়ে।
",5
"এখন সে ফুটবলার তৈরির কারিগর।
",5
" তার হাতে তৈরি ফুটবলার হয়তো খেলবে একদিন বেঙ্গল অথবা ভারতের হয়ে।
",5
"হয়তো বা খেলবে ন্যাশনালে।
",5
"এই আশা নিয়েই পথ চলে মিষ্টি ও বৃন্দাবন।
",5
" তার হাতের তৈরি পুতুল বা মূর্তি আজ সারা জাগিয়েছে সকলের মনে।
",1
"সমান দক্ষতায় সে শিশুদের পায়ে ফুটবলের যাদু দেখাতে শেখায়।
",5
"আজ সে আর মিষ্টি সুখী দম্পতী।
",1
